<DATE>;<TIME>;<OPEN> ;<HIGH>;<LOW> ;<CLOSE> ;<VOL>
27.09.2017;160000;22,358.3949057;22,371.2453396;22,335.4741318;22,341.9443503;3,542
27.09.2017;170000;22,342.0143526;22,342.0843550;22,341.2543270;22,341.4643341;1,198
28.09.2017;100000;22,307.5831901;22,327.6438674;22,289.7225871;22,311.4633211;1,799
28.09.2017;110000;22,312.0933424;22,363.9450931;22,309.3832509;22,353.1347281;3,599
28.09.2017;120000;22,353.1647291;22,382.4357174;22,349.1045920;22,372.6453869;3,6
28.09.2017;130000;22,372.9053956;22,395.4961584;22,370.7353224;22,384.4457853;3,599
28.09.2017;140000;22,384.2157775;22,392.6660628;22,373.4954156;22,391.1460115;3,6
28.09.2017;150000;22,391.1160105;22,394.2161152;22,370.0753001;22,378.3355790;3,6
28.09.2017;160000;22,378.1955743;22,389.5259568;22,368.4552454;22,379.3056117;3,585
28.09.2017;170000;22,379.3056117;22,381.9557012;22,379.3056117;22,381.9557012;1,199
29.09.2017;100000;22,359.2249337;22,360.9049905;22,333.7140724;22,352.7747160;1,798
29.09.2017;110000;22,353.3747362;22,381.8156965;22,353.0647258;22,364.4651107;3,599
29.09.2017;120000;22,364.3551070;22,379.1956080;22,357.7048824;22,377.5755533;3,576
29.09.2017;130000;22,377.5955540;22,382.3857157;22,364.1851012;22,368.5952501;3,598
29.09.2017;140000;22,368.6752528;22,372.5053821;22,358.1748983;22,363.0550631;3,598
29.09.2017;150000;22,363.0350624;22,380.5656543;22,351.3846690;22,375.9955000;3,526
29.09.2017;160000;22,375.9654990;22,405.9665119;22,371.8653605;22,405.9665119;3,542
29.09.2017;170000;22,398.4062567;22,405.8465079;22,398.4062567;22,405.8465079;1,2
02.10.2017;100000;22,424.2271285;22,474.7588346;22,416.7568762;22,473.0887782;1,799
02.10.2017;110000;22,473.1387799;22,487.8692773;22,448.3879442;22,466.7885655;3,592
02.10.2017;120000;22,467.4085864;22,487.7092719;22,456.8382295;22,481.1090490;3,565
02.10.2017;130000;22,480.9890450;22,520.5103794;22,476.0388778;22,519.5603473;3,6
02.10.2017;140000;22,519.8203561;22,538.9610023;22,515.9102240;22,536.8809321;3,6
02.10.2017;150000;22,536.9409341;22,549.1513464;22,529.4306805;22,548.8813373;3,6
02.10.2017;160000;22,548.9313390;22,559.0516807;22,529.6806890;22,558.7016688;3,581
02.10.2017;170000;22,558.7016688;22,560.1417175;22,558.3616574;22,558.3616574;1,199
03.10.2017;100000;22,565.2118887;22,614.5935560;22,563.6618363;22,614.2935458;1,797
03.10.2017;110000;22,615.4035833;22,631.6541320;22,600.8930934;22,627.2439831;3,6
03.10.2017;120000;22,626.9939747;22,637.7043363;22,618.3436826;22,635.4942617;3,599
03.10.2017;130000;22,635.7342698;22,637.8543413;22,621.7737984;22,632.3641560;3,6
03.10.2017;140000;22,632.2741529;22,638.5443646;22,626.2339490;22,631.6641323;3,6
03.10.2017;150000;22,631.6441317;22,646.0246172;22,629.6740652;22,642.4044950;3,6
03.10.2017;160000;22,642.2944913;22,647.0846530;22,631.9241411;22,643.6145358;3,586
03.10.2017;170000;22,643.4645308;22,643.4645308;22,641.9544798;22,642.4344960;1,2
04.10.2017;100000;22,646.4346311;22,663.1651959;22,633.5641965;22,656.2049609;1,797
04.10.2017;110000;22,656.7149782;22,664.1152280;22,647.1846564;22,658.9150524;3,599
04.10.2017;120000;22,658.9850548;22,684.8159270;22,658.9850548;22,678.0856997;3,599
04.10.2017;130000;22,678.1557021;22,686.7059908;22,668.6753820;22,673.4855444;3,6
04.10.2017;140000;22,673.1955346;22,679.9457625;22,660.0650913;22,670.8054539;3,599
04.10.2017;150000;22,670.8354549;22,675.6856187;22,659.7750815;22,668.8653884;3,599
04.10.2017;160000;22,668.9353908;22,671.6854836;22,645.5946027;22,660.6851122;3,588
04.10.2017;170000;22,660.8951193;22,662.4051703;22,660.8251169;22,662.4051703;1,199
05.10.2017;100000;22,668.5353773;22,697.7463635;22,655.9049508;22,684.4659151;1,702
05.10.2017;110000;22,686.9059975;22,706.9266735;22,677.2756724;22,696.6663271;3,435
05.10.2017;120000;22,696.7363294;22,748.4980771;22,696.7363294;22,745.0279599;3,507
05.10.2017;130000;22,744.9279566;22,764.7086244;22,742.1878641;22,754.0382642;3,535
05.10.2017;140000;22,753.9882625;22,770.3388145;22,753.5882490;22,764.6086211;3,536
05.10.2017;150000;22,764.6086211;22,764.6086211;22,752.1782014;22,763.6985903;3,558
05.10.2017;160000;22,765.5886542;22,771.6688594;22,758.2484063;22,770.5088203;3,502
05.10.2017;170000;22,776.7790320;22,777.8090668;22,776.0890087;22,776.1590110;1,199
06.10.2017;100000;22,762.7985599;22,762.7985599;22,734.4576030;22,759.5984519;1,799
06.10.2017;110000;22,759.7784580;22,772.9489027;22,735.4776375;22,746.0379940;3,6
